132.227.113.204 SERVER - [11/12/2012:16:01:30 +0200] "MLThreadedChatServerMessage parce ce que lls ne poura pas donner naissance à un enfant?" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:02:19 +0200] "MLThreadedChatServerMessage C'est pas vrai, j'ai regardé plusieurs émission qui parle de la souffrance de ces enfants" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:02:25 +0200] "MLThreadedChatServerMessage tu connais des enfants comme ça?" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:02:27 +0200] "MLThreadedChatServerMessage Si deux parents homosexuels ont envie d'avoir un enfant, ils lui porteront l'amour que reçoit tout enfant de parents hétéro" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:02:46 +0200] "MLThreadedChatServerMessage Et on a l'inverse aussi" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:03:15 +0200] "MLThreadedChatServerMessage Des parents homosexuels n'ont pas besoin de s'identifier aux notions de "père" et de "mère" pour se compléter et suffire aux besoins de leurs enfants" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:03:18 +0200] "MLThreadedChatServerMessage comment faire ca faire avancer la societe imagine un papa qui parle comme la maman ou s'habille comme elle c'est grave honteux" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:03:19 +0200] "MLThreadedChatServerMessage De base, le mariage est réligieux, cependant plus les années passent, plus l'acte est devenu simplement civil, par conséquent la religion n'a en s'en méler que dans les pays religieux..." 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:03:26 +0200] "MLThreadedChatServerMessage Les études actuelles montrent que les parents homosexuels élèvent aussi bien (voire mieux) leurs enfants (exemple : US National Longitudinal Lesbian Family Study)" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:03:27 +0200] "MLThreadedChatServerMessage On a l'inverse aussi pour les enfants élevés par des parents hétéros !" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:04:13 +0200] "MLThreadedChatServerMessage ce genre d'argument n'a pas sa place dans un débat de société" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:04:17 +0200] "MLThreadedChatServerMessage Donc tu ne veux pas qu'ils soient pleinnement heureux..." 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:04:19 +0200] "MLThreadedChatServerMessage Alors la notion des parents est ce qu'elle existe vraiment dans un couple homosexuelle" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:04:46 +0200] "MLThreadedChatServerMessage Et tu n'as pas regardé la seconde partie qui montre qu'ils sont heureux ..." 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:04:48 +0200] "MLThreadedChatServerMessage Je pense que cela ne peut que aider d'avoir un cadre légal commun quelque soient les orientations" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:04:52 +0200] "MLThreadedChatServerMessage peut-être les lesbiennes... je me méfie des hommes homosexuels" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:05:16 +0200] "MLThreadedChatServerMessage Pourquoi ?" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:05:25 +0200] "MLThreadedChatServerMessage Tu trouves que c'est moche à voir et c'est ton droit, mais ce n'est pas une vérité objective" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:05:27 +0200] "MLThreadedChatServerMessage Et s'il aime un animal, il a le droit de se marrier avec?" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:05:39 +0200] "MLThreadedChatServerMessage sauf le notion de 'père' et 'mère', je pense qu'ils font quasiment la même rôle avec les parents "normaux"" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:06:03 +0200] "MLThreadedChatServerMessage Certains couples hétéros n'ont jamais d'enfant, la finalité de l'amour n'est pas la procréation" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:06:15 +0200] "MLThreadedChatServerMessage Pourquoi? Les hommes sont des violeurs ?" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:06:22 +0200] "MLThreadedChatServerMessage entierement d'accord" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.202 10 - [11/12/2012:16:06:22 +0200] "-" - - "-" "DisconnectionType"
132.227.113.202 10 - [11/12/2012:16:06:22 +0200] "-" - - "-" "DisconnectionType"
132.227.113.202 10 - [11/12/2012:16:06:22 +0200] "-" - - "-" "DisconnectionType"
132.227.113.202 10 - [11/12/2012:16:06:22 +0200] "-" - - "-" "DisconnectionType"
132.227.113.204 SERVER - [11/12/2012:16:06:24 +0200] "MLThreadedChatServerMessage parce que voir des hommes homosexuels c'est plus déguelasse" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.202 10 - [11/12/2012:16:06:41 +0200] "-" - - "-" "ConnectionType"
132.227.113.202 10 - [11/12/2012:16:06:41 +0200] "-" - - "-" "ConnectionType"
132.227.113.202 10 - [11/12/2012:16:06:41 +0200] "-" - - "-" "ConnectionType"
132.227.113.202 10 - [11/12/2012:16:06:41 +0200] "-" - - "-" "ConnectionType"
132.227.113.204 SERVER - [11/12/2012:16:07:05 +0200] "MLThreadedChatServerMessage Je crains que tu n'aies une image de l'homosexualité un peu biaisée, de la même manière qu'au siècle dernier les gens avaient une vision biaisée des femmes par exemple" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:07:12 +0200] "MLThreadedChatServerMessage Elle ne devrait s'en mêler nul part." 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:07:23 +0200] "MLThreadedChatServerMessage l'enfant sera perturbé s'il est persécuté par la société. si la société accepte cette différence l'enfant n'aura pas à subir l'intolérance de son environnement et il sera plus libre de faire ses propres choix. " 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:07:26 +0200] "MLThreadedChatServerMessage Mais pourquoi pas ?!" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:07:30 +0200] "MLThreadedChatServerMessage Mais de quel avancement vous parlez???" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:07:39 +0200] "MLThreadedChatServerMessage Les hommes sont des signes après tout ! " 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:07:46 +0200] "MLThreadedChatServerMessage Pourquoi ?" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:08:23 +0200] "MLThreadedChatServerMessage si tu es pour le mariage gay tu devrais etre d'accord pour l'adoption aussi c'est presque pareil" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:08:25 +0200] "MLThreadedChatServerMessage pour faire une citation à south park hommes avec que des hommes ça sera l'extinction du monde... Par contre les femmes elles peuvent se debrouiller toutes seules..." 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:08:26 +0200] "MLThreadedChatServerMessage La notion de parents évoluera avec l'acceptation des couples homosexuels, il est normal qu'on ait du mal à anticiper cette évolution" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:08:51 +0200] "MLThreadedChatServerMessage C'est simplement une question d'habitude, ça explique aussi pourquoi les lesbiennes ne te dérangent pas !" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:09:10 +0200] "MLThreadedChatServerMessage Non il y a un truc qui s'appelle le chromosome (X ou Y)" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:09:40 +0200] "MLThreadedChatServerMessage très extrapolé mais dans le fond exact" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:09:48 +0200] "MLThreadedChatServerMessage s'ils se marrient ou se trouvent en concubinage... pour moi c'est ma même chose  " 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:09:58 +0200] "MLThreadedChatServerMessage Tu rigoles ?! RTu as vu le sobjets pour les femmes dans les sex shop ?!" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:10:07 +0200] "MLThreadedChatServerMessage Notre débat parle des êtres humains" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:10:11 +0200] "MLThreadedChatServerMessage Si l'animal est d'accord pourquoi pas?" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:10:53 +0200] "MLThreadedChatServerMessage un couple hetero se complète naturellement dans leur relation et c'est pas le cas pour un couple homo" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:11:00 +0200] "MLThreadedChatServerMessage Le même genre d'avancement que le droit de voter pour les femmes par exemple. Tout le monde était contre à l'époque (sauf les femmes)" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:11:15 +0200] "MLThreadedChatServerMessage Je ne savais pas ça mais bon c'est vrai que le homo-racisme commence à manifester... La loi c'est quoi on fait?" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:11:21 +0200] "MLThreadedChatServerMessage Parce que tu crois que si le mariage homosexuel devient légal; tout le monde deviendra homosexuel ?" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:11:25 +0200] "MLThreadedChatServerMessage entierement d'accord" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:12:22 +0200] "MLThreadedChatServerMessage Les couples homo peuvent se compléter également naturellement, ça n'a pas grand chose à voir avec le sexe" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:12:26 +0200] "MLThreadedChatServerMessage c'est compliqué à metrre en oeuvre psq on changer des lois partou dans le monde#ovag;" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:12:40 +0200] "MLThreadedChatServerMessage oui, mais normalement l'homme doit trasmettre leur DNA aux descendances, c'est la nature, si non l'homme va disparaîte" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:13:01 +0200] "MLThreadedChatServerMessage mais là on parle des hommes on a dépassé l'epoque des singes  à moins qu'il en existe toujours" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:13:08 +0200] "MLThreadedChatServerMessage si, biologiquement c'est prouvé" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:13:16 +0200] "MLThreadedChatServerMessage Exactement ! Là on est dans le cadre où les deux personnes peuvent exprimer leur consentement" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:13:23 +0200] "MLThreadedChatServerMessage je suis pas d'accord" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:14:00 +0200] "MLThreadedChatServerMessage On ne parle pas de la même chose je crois" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:14:09 +0200] "MLThreadedChatServerMessage ce n'est pas une raison pour s'opposer au changement" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:14:24 +0200] "-" - - "-" "ConnectionType"
132.227.113.201 AlexPavy - [11/12/2012:16:14:24 +0200] "-" - - "-" "ConnectionType"
132.227.113.201 AlexPavy - [11/12/2012:16:14:24 +0200] "-" - - "-" "ConnectionType"
132.227.113.201 AlexPavy - [11/12/2012:16:14:24 +0200] "-" - - "-" "ConnectionType"
132.227.113.204 SERVER - [11/12/2012:16:14:28 +0200] "MLThreadedChatServerMessage pour moi le fait de juste dormir tous les jours ensembles c'est pareil que d'etre marie" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:14:36 +0200] "MLThreadedChatServerMessage il n'y aura pas de consequences si ils n'adoptent pas.." 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:14:47 +0200] "MLThreadedChatServerMessage Ce serait le cas si y'avait 99% d'homosexuels dans le monde et qu'on était que 10000 humains sur Terre. Je ne pense pas qu'on ait de problème de sous-population" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:12 +0200] "MLThreadedChatServerMessage donc la question revient-elle à accepter simplement les couples homosexuels ?" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:18 +0200] "MLThreadedChatServerMessage s'ils pourront adopter.. leurs enfants seront "affectés"" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "MLThreadedChatServerMessage Et si l'homme doit disparaitre, autant qu'ils disparaissent en ayant assuré la liberté, l'égalité, et la fraternité !!!" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:15:27 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:23:57 +0200] "-" - - "-" "DisconnectionType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:23:57 +0200] "-" - - "-" "DisconnectionType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:23:57 +0200] "-" - - "-" "DisconnectionType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:23:57 +0200] "-" - - "-" "DisconnectionType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:25:06 +0200] "-" - - "-" "ConnectionType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:25:06 +0200] "-" - - "-" "ConnectionType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:25:06 +0200] "-" - - "-" "ConnectionType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:25:06 +0200] "-" - - "-" "ConnectionType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:35 +0200] "BlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:40 +0200] "unBlockedServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:49 +0200] "DisableServiceMessage" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:28:49 +0200] "DisableServiceMessage" 2 - "mlThreadedChatTool" "GenericType"
- - - [11/12/2012:16:28:49 +0200] "Step ended-step number-2" - - "-" "SessionType"
- - - [11/12/2012:16:28:49 +0200] "Step started-step number-3" - - "-" "SessionType"
132.227.113.197 chani - [11/12/2012:16:28:49 +0200] "NoteMessage Il vaut mieux avoir des parents du même sexe que de ne pas avoir de parents du tout.#ovag;" 2 - "notetool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:28:49 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.202 10 - [11/12/2012:16:28:49 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:16:28:49 +0200] "NoteMessage " 2 - "notetool" "GenericType"
- - - [11/12/2012:16:28:49 +0200] "GroupInfo[ZacharyEtNewfel:1;AlexPavy:1;10:1;rachid:1;Cedric:1;amna:1;amy:1;User:1;Mihai:1;3152019_3268955:1;chani:1;]" - - "-" "SessionType"
132.227.113.195 amy - [11/12/2012:16:28:49 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.194 amna - [11/12/2012:16:28:49 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.206 rachid - [11/12/2012:16:28:49 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.203 Mihai - [11/12/2012:16:28:49 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.196 User - [11/12/2012:16:28:49 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:28:49 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:28:49 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.203 Mihai - [11/12/2012:16:28:51 +0200] "-" - - "-" "DisconnectionType"
132.227.113.203 Mihai - [11/12/2012:16:28:51 +0200] "-" - - "-" "DisconnectionType"
132.227.113.203 Mihai - [11/12/2012:16:28:51 +0200] "-" - - "-" "DisconnectionType"
132.227.113.203 Mihai - [11/12/2012:16:28:51 +0200] "-" - - "-" "DisconnectionType"
132.227.113.203 Mihai - [11/12/2012:16:28:51 +0200] "-" - - "-" "DisconnectionType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:29:48 +0200] "-" - - "-" "ConnectionType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:29:48 +0200] "-" - - "-" "ConnectionType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:29:48 +0200] "-" - - "-" "ConnectionType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:29:48 +0200] "-" - - "-" "ConnectionType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:29:48 +0200] "-" - - "-" "ConnectionType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:29:49 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:30:47 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM L'homoparentalité peut engendrer des troubles à l'enfant" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:30:49 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:30:50 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM Egalité" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:30:50 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:30:52 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:30:54 +0200] "graphicalToolMessage DELETE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.197 chani - [11/12/2012:16:31:02 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:31:03 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM égalité pour tous" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:31:05 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:31:06 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.197 chani - [11/12/2012:16:31:07 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:31:13 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
