132.227.113.196 User - [11/12/2012:15:47:41 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.196 User - [11/12/2012:15:47:44 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.196 User - [11/12/2012:15:47:49 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.195 amy - [11/12/2012:15:47:50 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:15:47:52 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:15:47:54 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:15:47:57 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:15:47:57 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:15:47:58 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:15:47:59 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:15:47:59 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:49:02 +0200] "StopVoteMessage" 1 - "positionometerTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:49:14 +0200] "DisableServiceMessage" 1 - "positionometerTool" "GenericType"
- - - [11/12/2012:15:49:14 +0200] "Step ended-step number-1" - - "-" "SessionType"
- - - [11/12/2012:15:49:14 +0200] "Step started-step number-2" - - "-" "SessionType"
- - - [11/12/2012:15:49:14 +0200] "GroupInfo[Cedric:1;amna:1;rachid:1;amy:1;10:1;User:1;Mihai:1;3152019_3268955:1;ZacharyEtNewfel:1;chani:1;]" - - "-" "SessionType"
132.227.113.204 SERVER - [11/12/2012:15:49:43 +0200] "MLTCAddCategoryServerMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:50:40 +0200] "MLTCAddCategoryServerMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:50:41 +0200] "MLThreadedChatServerMessage enfants" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:50:46 +0200] "MLThreadedChatServerMessage La république est laïque, la religion n'a rien à voir dedans" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:51:07 +0200] "MLTCAddCategoryServerMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:51:12 +0200] "MLThreadedChatServerMessage Avis perso" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:51:51 +0200] "MLThreadedChatServerMessage Les enfants adoptés par des parents homosexuels s'en sortent aussi bien que les autres" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:52:00 +0200] "MLTCAddCategoryServerMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:52:06 +0200] "MLThreadedChatServerMessage Les préférences sexuelles sont personnelles et indiscutables" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:52:12 +0200] "MLThreadedChatServerMessage c'est pas un truc de religion, je suis contre par nature#ovag;" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:52:23 +0200] "MLThreadedChatServerMessage lla religion c'est autre chose, on ne doit pas interdire le droit au mariage pour tous" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:52:24 +0200] "MLTCAddCategoryServerMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:52:35 +0200] "MLTCAddCategoryServerMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:51 +0200] "NoteMessage I" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:52 +0200] "NoteMessage l" 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:52:52 +0200] "MLThreadedChatServerMessage L'homophobie est un délit puni par la loi" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:52 +0200] "NoteMessage  " 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:53 +0200] "NoteMessage v" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:53 +0200] "NoteMessage a" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:54 +0200] "NoteMessage u" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:54 +0200] "NoteMessage t" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:54 +0200] "NoteMessage  " 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:55 +0200] "NoteMessage m" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:56 +0200] "NoteMessage i" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:56 +0200] "NoteMessage e" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:56 +0200] "NoteMessage u" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:56 +0200] "NoteMessage x" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:56 +0200] "NoteMessage  " 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:57 +0200] "NoteMessage a" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:57 +0200] "NoteMessage v" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:57 +0200] "NoteMessage o" 2 - "notetool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:52:57 +0200] "NoteMessage i" 2 - "notetool" "GenericType"
